,Sheet Name,Primary,Client Name,Est,Estimate Name,Month of Service,Product Name,Ordered,Status,Publisher,Billed,Missing Invoice/Incorrect Placement,Assigned To,Due Date,Placement name,Placement ID,Actual Net Billable,Approval Status,Estimate Status
12,2021-08_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75563,Evergreen_ProgDigitalTV_Auctio,2021-07-01,Fees,58.21,Approved,DCM,26.19,,Luke Goldstein,2021-08-05,NON_NON_NON_NON_NON_NON_NON_NON_NON_DCM_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON,P1JSHGZ,58.21,Fee Buy: Unknown,
13,2021-08_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75563,Evergreen_ProgDigitalTV_Auctio,2021-08-01,Fees,64.75,Approved,DBLVERIF,0.0,,Luke Goldstein,2021-08-05,NON_NON_NON_NON_NON_NON_NON_NON_NON_DOUBLE VERIFY_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON,P1JSHH2,64.75,Fee Buy: Unknown,
14,2021-08_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75563,Evergreen_ProgDigitalTV_Auctio,2021-08-01,Fees,64.75,Approved,DCM,0.0,,Luke Goldstein,2021-08-05,NON_NON_NON_NON_NON_NON_NON_NON_NON_DCM_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON,P1JSHGZ,64.75,Fee Buy: Unknown,
15,2021-07_HMA Digital_National Grid,,IWA_Hyundai_Tier 1,75565,Evergreen_ProgVUFTTD_Auction_C,2021-06-01,Fees,1173.8,Approved,DBLVERIF,400.0,,Soo Chin,2021-07-06,NON_NON_NON_NON_NON_NON_NON_NON_NON_DOUBLE VERIFY_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON,P1JSR6V,146.58,Fee Buy: Unknown,
16,2021-07_HMA Digital_National Grid,,IWA_Hyundai_Tier 1,75565,Evergreen_ProgVUFTTD_Auction_C,2021-06-01,Fees,2810.69,Approved,DCM,3300.0,,Soo Chin,2021-07-06,NON_NON_NON_NON_NON_NON_NON_NON_NON_DCM_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON,P1JSR6P,2961.24,Fee Buy: Unknown,
17,2021-08_HMA Digital_National Grid,CWW,IWA_Hyundai_Tier 1,75565,Evergreen_ProgVUFTTD_Auction_C,2021-06-01,Fees,146.58,Approved,DBLVERIF,1173.8,,Jenna Sahyoun,2021-08-05,NON_NON_NON_NON_NON_NON_NON_NON_NON_DOUBLE VERIFY_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON,P1JSR6V,146.58,Fee Buy: Unknown,
18,2021-08_HMA Digital_National Grid,CWW,IWA_Hyundai_Tier 1,75565,Evergreen_ProgVUFTTD_Auction_C,2021-06-01,Fees,2961.24,Approved,DCM,2810.69,,Jenna Sahyoun,2021-08-05,NON_NON_NON_NON_NON_NON_NON_NON_NON_DCM_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON,P1JSR6P,2961.24,Fee Buy: Unknown,
19,2021-07_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75566,Evergreen_ProgDigitalTV_Auctio,2021-06-01,Basebuy,10057.05,Approved,CANVAS,9749.2,,Luke Goldstein,2021-07-06,MAT_CHA_HYU_CRP_CRC_NON_BHT_P2+++_NON_CANVAS PROGRAMMATIC_LIF_OPX_NON_VCR_HDAA - MAT - CHA - DigitalTV - TTD - Basic_0x0_None_DVB_NON_N_No Button_N_NON,P1JSHQH,10057.05,Media Buy: Approved,
20,2021-07_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75566,Evergreen_ProgDigitalTV_Auctio,2021-07-01,Basebuy,10057.02,Approved,CANVAS,0.0,,Luke Goldstein,2021-07-06,MAT_CHA_HYU_CRP_CRC_NON_BHT_P2+++_NON_CANVAS PROGRAMMATIC_LIF_OPX_NON_VCR_HDAA - MAT - CHA - DigitalTV - TTD - Basic_0x0_None_DVB_NON_N_No Button_N_NON,P1JSHQH,10057.02,Media Buy: Approved,
21,2021-08_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75566,Evergreen_ProgDigitalTV_Auctio,2021-08-01,Basebuy,13130.02,Approved,CANVAS,0.0,,Luke Goldstein,2021-08-05,MAT_CHA_HYU_CRP_CRC_NON_BHT_P2+++_NON_CANVAS PROGRAMMATIC_LIF_OPX_NON_VCR_HDAA - MAT - CHA - DigitalTV - TTD - Basic_0x0_None_DVB_NON_N_No Button_N_NON,P1JSHQH,13130.02,Media Buy: Approved,
